File,files,n_read_pairs,md5sum
BP_1_pol_S1_L001_R1_001.fastq.gz,BP_1_pol_S1_L001,16105319,20a9f6ff5f9906fedfa32e4ff8908ffc
BP_1_pol_S1_L002_R1_001.fastq.gz,BP_1_pol_S1_L002,17144795,2747e14b1f108a4ee08aa2dfc042e8d5
BP_1_pol_S1_L003_R1_001.fastq.gz,BP_1_pol_S1_L003,16948728,56959d2a1214245a03c7205c4a2e079d
BP_1_pol_S1_L004_R1_001.fastq.gz,BP_1_pol_S1_L004,16929837,a8c2be008fee474539e2696e3ecd9449
BP_2_pol_S2_L001_R1_001.fastq.gz,BP_2_pol_S2_L001,14193594,1ded8b653b54f9228f4951123d0dad55
BP_2_pol_S2_L002_R1_001.fastq.gz,BP_2_pol_S2_L002,15091124,c8d86a61de553f4ae28f89d82a8cedd9
BP_2_pol_S2_L003_R1_001.fastq.gz,BP_2_pol_S2_L003,14922942,ba46267b8dffe58451a26c71569463f4
BP_2_pol_S2_L004_R1_001.fastq.gz,BP_2_pol_S2_L004,14884358,c619bbc8b902ec24f41d53fe861e1599
BP_3_pol_S3_L001_R1_001.fastq.gz,BP_3_pol_S3_L001,18412232,4923787c69509ee90b809cd6a20316b4
BP_3_pol_S3_L002_R1_001.fastq.gz,BP_3_pol_S3_L002,19798030,a8b16644e318ef05095bac79759c2331
BP_3_pol_S3_L003_R1_001.fastq.gz,BP_3_pol_S3_L003,19518904,61630e306f82b3623dfe4883462cdefa
BP_3_pol_S3_L004_R1_001.fastq.gz,BP_3_pol_S3_L004,19512822,d37f358d9ca9c57596f76cc77e4d0845
BP_N_1_S4_L001_R1_001.fastq.gz,BP_N_1_S4_L001,17017370,4e36bfc7bc6554cd323c65c1e2d159c2
BP_N_1_S4_L002_R1_001.fastq.gz,BP_N_1_S4_L002,18503062,dc7c0296ddefc78f7d22f6ca9ed99f94
BP_N_1_S4_L003_R1_001.fastq.gz,BP_N_1_S4_L003,18209426,40a9b8c19d2cbdc89474793f053d82a8
BP_N_1_S4_L004_R1_001.fastq.gz,BP_N_1_S4_L004,18212656,9023b5641d807e66d56c65b5885330ea
BP_N_2_S5_L001_R1_001.fastq.gz,BP_N_2_S5_L001,12772405,882c8abfc61574911300b90147cf7ed6
BP_N_2_S5_L002_R1_001.fastq.gz,BP_N_2_S5_L002,13730099,6d3f4cc912b93caa2c812a9efb016f35
BP_N_2_S5_L003_R1_001.fastq.gz,BP_N_2_S5_L003,13588810,8fe974601d906bb533626bee57c74c23
BP_N_2_S5_L004_R1_001.fastq.gz,BP_N_2_S5_L004,13554379,4e88ae26ebd36d2aa33e64c2a58fc294
BP_N_3_S6_L001_R1_001.fastq.gz,BP_N_3_S6_L001,15397219,1719a482299c3f754c2323a58229115b
BP_N_3_S6_L002_R1_001.fastq.gz,BP_N_3_S6_L002,16266299,cff5c085664e8c8cf8c106124f9be6e9
BP_N_3_S6_L003_R1_001.fastq.gz,BP_N_3_S6_L003,16185620,7ba5fceeb56dc0705442d6477ffd032a
BP_N_3_S6_L004_R1_001.fastq.gz,BP_N_3_S6_L004,16129889,1184620731048b84498209946552633c
O_N_1_S10_L001_R1_001.fastq.gz,O_N_1_S10_L001,12784654,6198cda871cbf6508c879a6a0a42f907
O_N_1_S10_L002_R1_001.fastq.gz,O_N_1_S10_L002,13526431,f27382e0e7976913b26edc81d123fc4a
O_N_1_S10_L003_R1_001.fastq.gz,O_N_1_S10_L003,13351828,4f97fac4702c607de19c1bf76616954b
O_N_1_S10_L004_R1_001.fastq.gz,O_N_1_S10_L004,13384354,fc6fe65eae553cb2b9247155685d3ab3
O_N_2_S11_L001_R1_001.fastq.gz,O_N_2_S11_L001,17980842,edbe592fba9b6be746e17a5ab1b7719c
O_N_2_S11_L002_R1_001.fastq.gz,O_N_2_S11_L002,19062688,043372324e2a2171cc42b212074946d0
O_N_2_S11_L003_R1_001.fastq.gz,O_N_2_S11_L003,18865774,dd9b122e0e7faeecafc7a8950fcf46c3
O_N_2_S11_L004_R1_001.fastq.gz,O_N_2_S11_L004,18888078,f967f7f4121c8dbe49e65bcfd3c8e891
O_N_3_S12_L001_R1_001.fastq.gz,O_N_3_S12_L001,14019270,2eb8af703b456e2fd1cdca653d64998d
O_N_3_S12_L002_R1_001.fastq.gz,O_N_3_S12_L002,14924775,47e9fb5634db6db3610919f8aa8c96e5
O_N_3_S12_L003_R1_001.fastq.gz,O_N_3_S12_L003,14730027,58cf30e7522421ec675337f0067492c0
O_N_3_S12_L004_R1_001.fastq.gz,O_N_3_S12_L004,14741853,6b454e71c0e43215b0266b8c9967dcab
Oci_1_pol_S7_L001_R1_001.fastq.gz,Oci_1_pol_S7_L001,13547818,565f46e378f74e04cd95e331e1b4d5bb
Oci_1_pol_S7_L002_R1_001.fastq.gz,Oci_1_pol_S7_L002,14389407,a1d187704a183ba70f05de9e28046d5b
Oci_1_pol_S7_L003_R1_001.fastq.gz,Oci_1_pol_S7_L003,14241440,81b10b3c4cf3658192382371bdb3ebdf
Oci_1_pol_S7_L004_R1_001.fastq.gz,Oci_1_pol_S7_L004,14227084,ff192eb5484b4b70b3d1d30fae75b6dc
Oci_2_pol_S8_L001_R1_001.fastq.gz,Oci_2_pol_S8_L001,15581668,20aa3ad5e428ccc23f612cd329e090e9
Oci_2_pol_S8_L002_R1_001.fastq.gz,Oci_2_pol_S8_L002,16424297,1dc8c6ca7e0d0f4a0382e9d7cec78158
Oci_2_pol_S8_L003_R1_001.fastq.gz,Oci_2_pol_S8_L003,16222764,2baf119842fd842e0f13727bf7d127ab
Oci_2_pol_S8_L004_R1_001.fastq.gz,Oci_2_pol_S8_L004,16261687,edcea50e461b3bed72a6d9e5c9c22a8b
Oci_3_pol_S9_L001_R1_001.fastq.gz,Oci_3_pol_S9_L001,15765942,23170c08a3b9121cc303a59b7eb4144a
Oci_3_pol_S9_L002_R1_001.fastq.gz,Oci_3_pol_S9_L002,16675949,2a45bdd7566d94feb840e49aa9f05498
Oci_3_pol_S9_L003_R1_001.fastq.gz,Oci_3_pol_S9_L003,16516188,5bf555a5cdfed208549f192619fb0ca6
Oci_3_pol_S9_L004_R1_001.fastq.gz,Oci_3_pol_S9_L004,16520895,6b84172d6e7c9676fc2730a6aa8eaa8f
X_1_pol_S13_L001_R1_001.fastq.gz,X_1_pol_S13_L001,17415759,1eb75c619630955b2817af3779555f2c
X_1_pol_S13_L002_R1_001.fastq.gz,X_1_pol_S13_L002,18609606,a51fbe03929c7f51b2206fbf5e41c9a8
X_1_pol_S13_L003_R1_001.fastq.gz,X_1_pol_S13_L003,18380862,e90e153c8506cf0cdc62af890f2b00b5
X_1_pol_S13_L004_R1_001.fastq.gz,X_1_pol_S13_L004,18408935,ad345dcfa0a6258deea0848c017a86de
X_2_pol_S14_L001_R1_001.fastq.gz,X_2_pol_S14_L001,21735811,e458cd137cea3ed986d34fe2d13d7a21
X_2_pol_S14_L002_R1_001.fastq.gz,X_2_pol_S14_L002,23176238,27d223819801d7e6a1769f46338867fb
X_2_pol_S14_L003_R1_001.fastq.gz,X_2_pol_S14_L003,22926016,246b6d26f4f43aa0b0e6f0557efa0d94
X_2_pol_S14_L004_R1_001.fastq.gz,X_2_pol_S14_L004,22978891,8f605229f6fba0214886547f72cdcf61
X_3_pol_S15_L001_R1_001.fastq.gz,X_3_pol_S15_L001,16731060,178c10bb43042b36e10573fd464ea164
X_3_pol_S15_L002_R1_001.fastq.gz,X_3_pol_S15_L002,17848187,95750914c74914337b6e92e816f5b4fc
X_3_pol_S15_L003_R1_001.fastq.gz,X_3_pol_S15_L003,17662131,06da5e0411731b25169d21e3c0aa5fe5
X_3_pol_S15_L004_R1_001.fastq.gz,X_3_pol_S15_L004,17657360,309497ce7ec8d32b0e988aaaf5d03d03
X_N_1_S16_L001_R1_001.fastq.gz,X_N_1_S16_L001,9891273,4351945ff4b6e7b354e1c92671dbc208
X_N_1_S16_L002_R1_001.fastq.gz,X_N_1_S16_L002,10557576,e228fc40681f6fe7ed9c6fe9288abb7b
X_N_1_S16_L003_R1_001.fastq.gz,X_N_1_S16_L003,10430720,819e112ab0a87d1b1ca6c6779396e60c
X_N_1_S16_L004_R1_001.fastq.gz,X_N_1_S16_L004,10430298,3e4794713fb2b00c925741c9158edc31
X_N_2_S17_L001_R1_001.fastq.gz,X_N_2_S17_L001,11793604,1bb34d059f0a498b2b8ab07de6158858
X_N_2_S17_L002_R1_001.fastq.gz,X_N_2_S17_L002,12458941,d28f96bfe90b395f9809eb37d95e5d7c
X_N_2_S17_L003_R1_001.fastq.gz,X_N_2_S17_L003,12325528,e8a8d0ccb4080395253138ef5e7c526c
X_N_2_S17_L004_R1_001.fastq.gz,X_N_2_S17_L004,12360380,6d562c29c945e6ab438f7eea07958bb5
X_N_3_S18_L001_R1_001.fastq.gz,X_N_3_S18_L001,22870816,00f90746e69ac038f82ae24873c30a78
X_N_3_S18_L002_R1_001.fastq.gz,X_N_3_S18_L002,24042913,2f88ff720c8439584c23e11c4947fd53
X_N_3_S18_L003_R1_001.fastq.gz,X_N_3_S18_L003,23857592,ba12c2188c44fb5548a7ba8521e525a3
X_N_3_S18_L004_R1_001.fastq.gz,X_N_3_S18_L004,23870833,c1058f2fdfd6d6a53a2dee42e1e705b1
